Rank,Pokemon,Usage %,Raw,%,Real,%
378,Arrokuda,0.00000%,2,0.001%,1,0.001%
379,Yamask-Galar,0.00000%,1,0.001%,1,0.001%
380,Shinx,0.00000%,2,0.001%,2,0.002%
381,Dewpider,0.00000%,1,0.001%,1,0.001%
382,Oddish,0.00000%,1,0.001%,1,0.001%
383,Growlithe,0.00000%,3,0.002%,3,0.003%
384,Diglett,0.00000%,4,0.003%,3,0.003%
385,Tentacool,0.00000%,13,0.010%,11,0.010%
386,Yamask,0.00000%,6,0.004%,5,0.005%
387,Litwick,0.00000%,2,0.001%,2,0.002%
388,Skwovet,0.00000%,5,0.004%,3,0.003%
389,Tranquill,0.00000%,4,0.003%,3,0.003%
390,Fomantis,0.00000%,1,0.001%,1,0.001%
391,Zigzagoon-Galar,0.00000%,3,0.002%,3,0.003%
392,Rookidee,0.00000%,1,0.001%,1,0.001%
393,Nuzleaf,0.00000%,6,0.004%,3,0.003%
394,Machop,0.00000%,2,0.001%,0,0.000%
395,Caterpie,0.00000%,2,0.001%,1,0.001%
396,Rhyhorn,0.00000%,1,0.001%,1,0.001%
397,Yamper,0.00000%,3,0.002%,3,0.003%
